frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Dec 31, 2009 18:00:29.651780000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"2","Dec 31, 2009 18:00:29.652048000 CST","52:54:00:12:35:00","08:00:27:91:fd:44","10.0.2.2","10.0.2.15","17"
"3","Dec 31, 2009 18:00:29.655825000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"4","Dec 31, 2009 18:00:29.655969000 CST","52:54:00:12:35:00","08:00:27:91:fd:44","10.0.2.2","10.0.2.15","17"
"5","Dec 31, 2009 18:00:29.669413000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff",,,
"6","Dec 31, 2009 18:00:29.975342000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff",,,
"7","Dec 31, 2009 18:00:30.971198000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff",,,
"8","Dec 31, 2009 18:00:32.055129000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff","10.0.2.15","10.0.2.255","17"
"9","Dec 31, 2009 18:00:32.103465000 CST","08:00:27:91:fd:44","01:00:5e:00:00:16","10.0.2.15","224.0.0.22","2"
"10","Dec 31, 2009 18:00:32.106181000 CST","52:54:00:12:35:00","08:00:27:91:fd:44","10.0.2.2","10.0.2.15","1"
"11","Dec 31, 2009 18:00:32.809491000 CST","08:00:27:91:fd:44","ff:ff:ff:ff:ff:ff","10.0.2.15","10.0.2.255","17"
"12","Dec 31, 2009 18:00:32.976430000 CST","08:00:27:91:fd:44","01:00:5e:00:00:16","10.0.2.15","224.0.0.22","2"
"13","Dec 31, 2009 18:00:32.976559000 CST","52:54:00:12:35:00","08:00:27:91:fd:44","10.0.2.2","10.0.2.15","1"
